SUCCESS,FIX_NLCF_DURATION_MS,FIX_BORROW_DURATION_MS,FIX_LIFETIME_CARGO_MS,CARGO_CYCLES,TOTAL_DURATION_MS,TOTAL_DURATION_S,COMMIT,COMMIT_URL,FAILED_AT,PROJECT,BRANCH,PROJECT_SIZE,SRC_SIZE,CALLER_SIZE,NOTES
true,72,74,259,0,406,0.406,"8d1edb799a506f22acc4a72c2993fa66692b3562
","https://github.com/sewenthy/petgraph/commit/8d1edb799a506f22acc4a72c2993fa66692b3562
",,petgraph,ext1-expr-active,20114,89,27,within impl
true,174,206,997,0,1378,1.3780000000000001,"23f352600ea4c7dc736154c1e53bc01c7aaedbcc
","https://github.com/sewenthy/petgraph/commit/23f352600ea4c7dc736154c1e53bc01c7aaedbcc
",,petgraph,ext2-expr-active,20115,921,20,new impl with generics annotated + invoc using self.bar
true,174,165,1510,1,1850,1.85,"b128908b6d957e7abaa02ca222b51094fc1f8b7d
","https://github.com/sewenthy/petgraph/commit/b128908b6d957e7abaa02ca222b51094fc1f8b7d
",,petgraph,ext3-expr-active,20115,921,8,new impl + invoc using self.bar + lt bound needed between genrics and output
true,93,133,1605,0,1832,1.832,"90e576aa5530e477a08deb5c59a0110a5574957f
","https://github.com/sewenthy/petgraph/commit/90e576aa5530e477a08deb5c59a0110a5574957f
",,petgraph,ext4-expr-active,20113,264,54,
true,87,91,753,0,933,0.933,"836b3c93c1647ca64a73a884dcb7433682a5186f
","https://github.com/sewenthy/petgraph/commit/836b3c93c1647ca64a73a884dcb7433682a5186f
",,petgraph,ext5-expr-active,20113,55,122,
true,167,145,973,0,1285,1.285,"5f2fe513ceb979d815cb20501f4214f3b7bbe135
","https://github.com/sewenthy/petgraph/commit/5f2fe513ceb979d815cb20501f4214f3b7bbe135
",,petgraph,ext6-expr-active,20113,815,22,has self so smart not elide
false,115,145,426,1,687,0.687,"0e96b40c73d19bc8d3864bd3edb9badba674d26b
","https://github.com/sewenthy/petgraph/commit/0e96b40c73d19bc8d3864bd3edb9badba674d26b
",cargo,petgraph,inline-ext1-expr-active,20157,308,54,failed due to type inference on generics
true,73,86,801,0,961,0.961,"e5a31abd81ccfc7db6ca259ffe161adcb6b03ce5
","https://github.com/sewenthy/gitoxide/commit/e5a31abd81ccfc7db6ca259ffe161adcb6b03ce5
",,gitoxide,ext1-expr-active,9131,56,9,
true,96,103,1265,1,1466,1.466,"0048b62ebd309859215f00961f0c42874a866339
","https://github.com/sewenthy/gitoxide/commit/0048b62ebd309859215f00961f0c42874a866339
",,gitoxide,ext2-expr-active,771,109,53,complex lifetime + bounds + nlcf--used in paper
true,62,116,539,0,719,0.719,"f33994595394c91802183d6925d8b53f61870a33
","https://github.com/sewenthy/gitoxide/commit/f33994595394c91802183d6925d8b53f61870a33
",,gitoxide,ext3-expr-active,800,178,19,extracted within impl + invoc Self::bar
